thr,model,treat_none,treat_all
0.05,0.8086124401913876,0,0.8086124401913876
0.1,0.797979797979798,0,0.797979797979798
0.15,0.7941176470588236,0,0.786096256684492
0.2,0.7386363636363636,0,0.7727272727272728
0.25,0.7272727272727273,0,0.7575757575757577
0.3,0.6883116883116883,0,0.7402597402597403
0.35,0.6328671328671328,0,0.7202797202797203
0.39999999999999997,0.6212121212121212,0,0.6969696969696971
0.44999999999999996,0.6074380165289256,0,0.6694214876033059
0.49999999999999994,0.5909090909090908,0,0.6363636363636365
0.5499999999999999,0.5707070707070707,0,0.5959595959595961
0.6,0.5,0,0.5454545454545456
0.65,0.42207792207792205,0,0.4805194805194806
0.7,0.48484848484848486,0,0.39393939393939414
0.75,0.36363636363636365,0,0.27272727272727293
0.7999999999999999,0.31818181818181823,0,0.0909090909090915
0.85,0.24242424242424243,0,-0.2121212121212116
0.9,0.4090909090909091,0,-0.818181818181818
0.95,0.3181818181818182,0,-2.636363636363632
